threshold,BPCER,APCER
1.6961408277893497e-08,0.0,0.927037037037037
1.735686439019446e-08,0.0,0.9266666666666666
1.738304789000722e-08,0.0,0.9262962962962963
1.790027504000591e-08,0.0,0.9259259259259259
1.8032533688483454e-08,0.0,0.9255555555555556
1.821262607393237e-08,0.0,0.9251851851851852
1.8402557699914723e-08,0.0,0.9248148148148149
1.917264036421784e-08,0.0,0.9244444444444444
1.9261516825963554e-08,0.0,0.924074074074074
1.9747572466144447e-08,0.0,0.9237037037037037
1.9852985033708137e-08,0.0,0.9233333333333333
1.9973718679011654e-08,0.0,0.922962962962963
2.0050396898341205e-08,0.0,0.9225925925925926
2.0087190577555702e-08,0.0,0.9222222222222223
2.0401756728460896e-08,0.0,0.9218518518518518
2.044981073368035e-08,0.0,0.9214814814814815
2.0469135719736187e-08,0.0,0.9211111111111111
2.0693079250122537e-08,0.0,0.9207407407407407
2.087092809688329e-08,0.0,0.9203703703703704
2.1047410925234544e-08,0.0,0.92
2.128209075635823e-08,0.0,0.9196296296296296
2.129696241581769e-08,0.0,0.9192592592592592
2.1514278358836236e-08,0.0,0.9188888888888889
2.1924446258481112e-08,0.0,0.9185185185185185
2.197776360901571e-08,0.0,0.9181481481481482
2.2180756786838174e-08,0.0,0.9177777777777778
2.3150317218778582e-08,0.0,0.9174074074074074
2.3176543351155487e-08,0.0,0.917037037037037
2.334399873404891e-08,0.0,0.9166666666666666
2.3433049278764884e-08,0.0,0.9162962962962963
2.363881890232733e-08,0.0,0.9159259259259259
2.404441623582443e-08,0.0,0.9155555555555556
2.490503447916126e-08,0.0,0.9151851851851852
2.5149752502784395e-08,0.0,0.9148148148148149
2.5151315696803067e-08,0.0,0.9144444444444444
2.535804455305879e-08,0.0,0.914074074074074
2.5491846855629774e-08,0.0,0.9137037037037037
2.5547969073613785e-08,0.0,0.9133333333333333
2.561202272488572e-08,0.0,0.912962962962963
2.5794451019578446e-08,0.0,0.9125925925925926
2.607986893110592e-08,0.0,0.9122222222222223
2.621827555060463e-08,0.0,0.9118518518518518
2.6268100583592968e-08,0.0,0.9114814814814814
2.6365146510443083e-08,0.0,0.9111111111111111
2.648952168726737e-08,0.0,0.9107407407407407
2.653863262480627e-08,0.0,0.9103703703703704
2.655352204783412e-08,0.0,0.91
2.754905636948024e-08,0.0,0.9096296296296297
2.7669830870991063e-08,0.0,0.9092592592592592
2.8039679023095232e-08,0.0,0.9088888888888889
2.812830146581291e-08,0.0,0.9085185185185185
2.8143459118723513e-08,0.0,0.9081481481481481
2.8578465816053722e-08,0.0,0.9077777777777778
2.8674364216385584e-08,0.0,0.9074074074074074
2.901581730441194e-08,0.0,0.9070370370370371
2.983431457437291e-08,0.0,0.9066666666666666
2.9905859122436595e-08,0.0,0.9062962962962963
2.9924287048288534e-08,0.0,0.9059259259259259
3.0212177648536453e-08,0.0,0.9055555555555556
3.028581474495695e-08,0.0,0.9051851851851852
3.049332519822201e-08,0.0,0.9048148148148148
3.0763573022341006e-08,0.0,0.9044444444444445
3.094265821346198e-08,0.0,0.904074074074074
3.108143431518329e-08,0.0,0.9037037037037037
3.120846869819616e-08,0.0,0.9033333333333333
3.128821646214419e-08,0.0,0.902962962962963
3.1965491587016004e-08,0.0,0.9025925925925926
3.2308435038430616e-08,0.0,0.9022222222222223
3.243198420932458e-08,0.0,0.9018518518518519
3.249335378541218e-08,0.0,0.9014814814814814
3.254637803706828e-08,0.0,0.9011111111111111
3.2558325813170086e-08,0.0,0.9007407407407407
3.285233063365922e-08,0.0,0.9003703703703704
3.28797682414006e-08,0.0,0.9
3.3352037576150906e-08,0.0,0.8996296296296297
3.3483807726497616e-08,0.0,0.8992592592592593
3.380186797130591e-08,0.0,0.8988888888888888
3.394463377048851e-08,0.0,0.8985185185185185
3.477178722732788e-08,0.0,0.8981481481481481
3.480670685007681e-08,0.0,0.8977777777777778
3.499100387216458e-08,0.0,0.8974074074074074
3.503938827975617e-08,0.0,0.8970370370370371
3.513638802132846e-08,0.0,0.8966666666666666
3.5295268929758095e-08,0.0,0.8962962962962963
3.5633597406103945e-08,0.0,0.8959259259259259
3.5819482491206145e-08,0.0,0.8955555555555555
3.622421118620878e-08,0.0,0.8951851851851852
3.633000034142242e-08,0.0,0.8948148148148148
3.6586804696980835e-08,0.0,0.8944444444444445
3.6604962616593184e-08,0.0,0.894074074074074
3.679628690633763e-08,0.0,0.8937037037037037
3.687932093043855e-08,0.0,0.8933333333333333
3.689244820748172e-08,0.0,0.892962962962963
3.729326536472399e-08,0.0,0.8925925925925926
3.788239055779741e-08,0.0,0.8922222222222222
3.820674265853086e-08,0.0,0.8918518518518519
3.822664140784582e-08,0.0,0.8914814814814814
3.8395654655687395e-08,0.0,0.8911111111111111
3.8789547573969685e-08,0.0,0.8907407407407407
3.891520705678886e-08,0.0,0.8903703703703704
3.912892765356446e-08,0.0,0.89
3.925545755123494e-08,0.0,0.8896296296296297
3.954323091193146e-08,0.0,0.8892592592592593
4.0697024417113425e-08,0.0,0.8888888888888888
4.1964806740679705e-08,0.0,0.8885185185185185
4.276606091480062e-08,0.0,0.8881481481481481
4.298641442801454e-08,0.0,0.8877777777777778
4.450308210834919e-08,0.0,0.8874074074074074
4.50534116680501e-08,0.0,0.8870370370370371
4.5229867851048766e-08,0.0,0.8866666666666667
4.5618762101184984e-08,0.0,0.8862962962962962
4.568438782825979e-08,0.0,0.8859259259259259
4.569675127186201e-08,0.0,0.8855555555555555
4.6374680096050724e-08,0.0,0.8851851851851852
4.666015129828338e-08,0.0,0.8848148148148148
4.797772135134437e-08,0.0,0.8844444444444445
4.839610667772831e-08,0.0,0.8840740740740741
5.0898872672178186e-08,0.0,0.8837037037037037
5.0947392082889564e-08,0.0,0.8833333333333333
5.13194748918977e-08,0.0,0.882962962962963
5.141347614312508e-08,0.0,0.8825925925925926
5.177484752039163e-08,0.0,0.8822222222222222
5.2321439625302446e-08,0.0,0.8818518518518519
5.235919076085338e-08,0.0,0.8814814814814815
5.265711777724391e-08,0.0,0.8811111111111111
5.301518513078918e-08,0.0,0.8807407407407407
5.316687534673292e-08,0.0,0.8803703703703704
5.319935070247084e-08,0.0,0.88
5.338721109637845e-08,0.0,0.8796296296296297
5.364758237647038e-08,0.0,0.8792592592592593
5.3672572164487065e-08,0.0,0.8788888888888889
5.496302435403777e-08,0.0,0.8785185185185185
5.548398718246972e-08,0.0,0.8781481481481481
5.6501299638966884e-08,0.0,0.8777777777777778
5.674002778732756e-08,0.0,0.8774074074074074
5.674882430639627e-08,0.0,0.8770370370370371
5.675029157714562e-08,0.0,0.8766666666666667
5.684600523636618e-08,0.0,0.8762962962962964
5.686797877046956e-08,0.0,0.8759259259259259
5.690770876753959e-08,0.0,0.8755555555555555
5.691833493415288e-08,0.0,0.8751851851851852
5.7062177205580156e-08,0.0,0.8748148148148148
5.7718310131349426e-08,0.0,0.8744444444444445
5.800323421567555e-08,0.0,0.8740740740740741
5.890606047387337e-08,0.0,0.8737037037037036
5.929717161734516e-08,0.0,0.8733333333333333
5.984873041597893e-08,0.0,0.8729629629629629
6.145491227016464e-08,0.0,0.8725925925925926
6.166882116076522e-08,0.0,0.8722222222222222
6.260978580030496e-08,0.0,0.8718518518518519
6.271884700481678e-08,0.0,0.8714814814814815
6.275835318092504e-08,0.0,0.8711111111111111
6.287433507168316e-08,0.0,0.8707407407407407
6.295098842201696e-08,0.0,0.8703703703703703
6.29589251843754e-08,0.0,0.87
6.323980983324873e-08,0.0,0.8696296296296296
6.493131365914451e-08,0.0,0.8692592592592593
6.527913853915379e-08,0.0,0.8688888888888889
6.535793772854959e-08,0.0,0.8685185185185185
6.594613211063916e-08,0.0,0.8681481481481481
6.698552823536374e-08,0.0,0.8677777777777778
6.748820169377723e-08,0.0,0.8674074074074074
6.749280601070495e-08,0.0,0.867037037037037
6.773980487650988e-08,0.0,0.8666666666666667
6.865548130008392e-08,0.0,0.8662962962962963
6.895953674757038e-08,0.0,0.8659259259259259
6.901399274283904e-08,0.0,0.8655555555555555
6.940088326246041e-08,0.0,0.8651851851851852
6.9938529634328e-08,0.0,0.8648148148148148
7.002604007766422e-08,0.0,0.8644444444444445
7.142740088283972e-08,0.0,0.8640740740740741
7.162319093367842e-08,0.0,0.8637037037037038
7.186534389802546e-08,0.0,0.8633333333333333
7.190199369233596e-08,0.0,0.8629629629629629
7.313568772815415e-08,0.0,0.8625925925925926
7.407489732713657e-08,0.0,0.8622222222222222
7.450127270658413e-08,0.0,0.8618518518518519
